----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
            SiLU-429             [-1, 44, 1, 1]               0
          Conv2d-430           [-1, 1056, 1, 1]          47,520
         Sigmoid-431           [-1, 1056, 1, 1]               0
SqueezeExcitation-432           [-1, 1056, 4, 4]               0
          Conv2d-433            [-1, 304, 4, 4]         321,024
     BatchNorm2d-434            [-1, 304, 4, 4]             608
          MBConv-435            [-1, 304, 4, 4]               0
          Conv2d-436           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-437           [-1, 1824, 4, 4]           3,648
            SiLU-438           [-1, 1824, 4, 4]               0
          Conv2d-439           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-440           [-1, 1824, 4, 4]           3,648
            SiLU-441           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-442           [-1, 1824, 1, 1]               0
          Conv2d-443             [-1, 76, 1, 1]         138,700
            SiLU-444             [-1, 76, 1, 1]               0
          Conv2d-445           [-1, 1824, 1, 1]         140,448
         Sigmoid-446           [-1, 1824, 1, 1]               0
SqueezeExcitation-447           [-1, 1824, 4, 4]               0
          Conv2d-448            [-1, 304, 4, 4]         554,496
     BatchNorm2d-449            [-1, 304, 4, 4]             608
 StochasticDepth-450            [-1, 304, 4, 4]               0
          MBConv-451            [-1, 304, 4, 4]               0
          Conv2d-452           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-453           [-1, 1824, 4, 4]           3,648
            SiLU-454           [-1, 1824, 4, 4]               0
          Conv2d-455           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-456           [-1, 1824, 4, 4]           3,648
            SiLU-457           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-458           [-1, 1824, 1, 1]               0
          Conv2d-459             [-1, 76, 1, 1]         138,700
            SiLU-460             [-1, 76, 1, 1]               0
          Conv2d-461           [-1, 1824, 1, 1]         140,448
         Sigmoid-462           [-1, 1824, 1, 1]               0
SqueezeExcitation-463           [-1, 1824, 4, 4]               0
          Conv2d-464            [-1, 304, 4, 4]         554,496
     BatchNorm2d-465            [-1, 304, 4, 4]             608
 StochasticDepth-466            [-1, 304, 4, 4]               0
          MBConv-467            [-1, 304, 4, 4]               0
          Conv2d-468           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-469           [-1, 1824, 4, 4]           3,648
            SiLU-470           [-1, 1824, 4, 4]               0
          Conv2d-471           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-472           [-1, 1824, 4, 4]           3,648
            SiLU-473           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-474           [-1, 1824, 1, 1]               0
          Conv2d-475             [-1, 76, 1, 1]         138,700
            SiLU-476             [-1, 76, 1, 1]               0
          Conv2d-477           [-1, 1824, 1, 1]         140,448
         Sigmoid-478           [-1, 1824, 1, 1]               0
SqueezeExcitation-479           [-1, 1824, 4, 4]               0
          Conv2d-480            [-1, 304, 4, 4]         554,496
     BatchNorm2d-481            [-1, 304, 4, 4]             608
 StochasticDepth-482            [-1, 304, 4, 4]               0
          MBConv-483            [-1, 304, 4, 4]               0
          Conv2d-484           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-485           [-1, 1824, 4, 4]           3,648
            SiLU-486           [-1, 1824, 4, 4]               0
          Conv2d-487           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-488           [-1, 1824, 4, 4]           3,648
            SiLU-489           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-490           [-1, 1824, 1, 1]               0
          Conv2d-491             [-1, 76, 1, 1]         138,700
            SiLU-492             [-1, 76, 1, 1]               0
          Conv2d-493           [-1, 1824, 1, 1]         140,448
         Sigmoid-494           [-1, 1824, 1, 1]               0
SqueezeExcitation-495           [-1, 1824, 4, 4]               0
          Conv2d-496            [-1, 304, 4, 4]         554,496
     BatchNorm2d-497            [-1, 304, 4, 4]             608
 StochasticDepth-498            [-1, 304, 4, 4]               0
          MBConv-499            [-1, 304, 4, 4]               0
          Conv2d-500           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-501           [-1, 1824, 4, 4]           3,648
            SiLU-502           [-1, 1824, 4, 4]               0
          Conv2d-503           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-504           [-1, 1824, 4, 4]           3,648
            SiLU-505           [-1, 1824, 4, 4]               0
